sample1	sample2	N_informative_sites	discordance	log_p	N_fit_iteration	N_generation	N_state_transition	seq_shared_best_traj	fract_sites_IBD	fract_vit_sites_IBD
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	13621	1.0000	-2.11833e+04	2	0.000	0	0.00000	0.00000	0.00000
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	10710	0.8227	-1.65712e+04	3	2.122	15	0.36826	0.35097	0.35225
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	10710	0.8225	-1.65666e+04	3	2.122	15	0.36826	0.35096	0.35225
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	6421	0.8971	-1.26279e+04	3	2.073	15	0.63430	0.57467	0.57617
3D7/PG0051-C/ERR019061	C02/PG0055-C/ERR019066	6422	0.8966	-1.26290e+04	3	2.051	15	0.63430	0.57519	0.57617
3D7/PG0051-C/ERR019061	C02/PG0056-C/ERR019068	6422	0.8971	-1.26289e+04	3	2.055	15	0.63430	0.57519	0.57617
3D7/PG0051-C/ERR019061	C02/PG0067-C/ERR019073	6422	0.8969	-1.26221e+04	3	2.050	15	0.63430	0.57519	0.57617
3D7/PG0051-C/ERR019061	C03/PG0066-C/ERR019072	9479	0.8069	-1.51332e+04	3	2.294	17	0.46270	0.43458	0.43580
3D7/PG0051-C/ERR019061	C04/PG0061-C/ERR019059	8227	0.6564	-1.37521e+04	4	3.031	21	0.58026	0.59384	0.59408
3D7/PG0051-C/ERR019061	C05/PG0068-C/ERR019065	7553	0.4369	-1.27134e+04	3	1.892	11	0.74375	0.75489	0.75619
3D7/PG0051-C/ERR019061	C06/PG0069-C/ERR019055	8995	0.7102	-1.46244e+04	3	2.482	19	0.51255	0.52766	0.52896
3D7/PG0051-C/ERR019061	C07/PG0070-C/ERR019056	9186	0.7108	-1.43923e+04	4	2.195	16	0.52979	0.51939	0.52059
3D7/PG0051-C/ERR019061	C08/PG0071-C/ERR019074	9414	0.7675	-1.51291e+04	2	1.302	10	0.47485	0.46791	0.46906
3D7/PG0051-C/ERR019061	C09/PG0072-C/ERR019057	9737	0.8086	-1.54433e+04	3	2.490	19	0.45463	0.41986	0.42133
3D7/PG0051-C/ERR019061	C10/PG0063-C/ERR019060	8504	0.8574	-1.51239e+04	4	2.417	17	0.47484	0.45769	0.45474
3D7/PG0051-C/ERR019061	C11/PG0064-C/ERR019071	8836	0.7336	-1.47579e+04	3	3.012	23	0.57124	0.51745	0.52228
3D7/PG0051-C/ERR019061	C12/PG0058-C/ERR019063	8143	0.7010	-1.38908e+04	3	2.346	17	0.60086	0.57621	0.57778
3D7/PG0051-C/ERR019061	C13/PG0054-C/ERR019062	8719	0.8351	-1.50991e+04	3	2.336	18	0.52631	0.46268	0.46428
3D7/PG0051-C/ERR019061	C14/PG0060-C/ERR019058	9111	0.7212	-1.47997e+04	3	3.109	24	0.54649	0.51502	0.51589
3D7/PG0051-C/ERR019061	C15/PG0057-C/ERR019069	8584	0.8127	-1.44698e+04	3	2.612	20	0.55189	0.48526	0.48704
HB3/PG0052-C/ERR019054	C01/PG0062-C/ERR019070	9448	0.5088	-1.43197e+04	3	2.103	15	0.63004	0.64589	0.64665
HB3/PG0052-C/ERR019054	C01/PG0065-C/ERR019064	9450	0.5090	-1.43279e+04	3	2.103	15	0.63004	0.64590	0.64665
HB3/PG0052-C/ERR019054	C02/PG0053-C/ERR019067	8212	0.9570	-1.47540e+04	3	2.307	17	0.36283	0.42093	0.42229
HB3/PG0052-C/ERR019054	C02/PG0055-C/ERR019066	8214	0.9571	-1.47717e+04	3	2.307	17	0.36283	0.42093	0.42229
HB3/PG0052-C/ERR019054	C02/PG0056-C/ERR019068	8211	0.9571	-1.47515e+04	3	2.307	17	0.36283	0.42093	0.42229
HB3/PG0052-C/ERR019054	C02/PG0067-C/ERR019073	8211	0.9571	-1.47509e+04	3	2.307	17	0.36283	0.42093	0.42229
HB3/PG0052-C/ERR019054	C03/PG0066-C/ERR019072	9381	0.6366	-1.48225e+04	4	2.501	17	0.53285	0.55998	0.56134
HB3/PG0052-C/ERR019054	C04/PG0061-C/ERR019059	10378	0.7841	-1.65169e+04	4	3.777	28	0.41166	0.39875	0.40100
HB3/PG0052-C/ERR019054	C05/PG0068-C/ERR019065	11803	0.8743	-1.86449e+04	3	1.908	11	0.25400	0.24108	0.24183
HB3/PG0052-C/ERR019054	C06/PG0069-C/ERR019055	10157	0.7120	-1.59654e+04	3	3.003	23	0.48457	0.46698	0.46854
HB3/PG0052-C/ERR019054	C07/PG0070-C/ERR019056	10207	0.6946	-1.55577e+04	3	1.947	15	0.46936	0.47778	0.47889
HB3/PG0052-C/ERR019054	C08/PG0071-C/ERR019074	9737	0.6566	-1.52147e+04	2	1.296	10	0.52399	0.53020	0.53043
HB3/PG0052-C/ERR019054	C09/PG0072-C/ERR019057	9312	0.6061	-1.44357e+04	3	2.008	15	0.53982	0.57366	0.57411
HB3/PG0052-C/ERR019054	C10/PG0063-C/ERR019060	8764	0.7223	-1.47010e+04	3	2.338	18	0.51014	0.53386	0.53462
HB3/PG0052-C/ERR019054	C11/PG0064-C/ERR019071	9897	0.7201	-1.59832e+04	3	2.993	23	0.42538	0.47318	0.47434
HB3/PG0052-C/ERR019054	C12/PG0058-C/ERR019063	9983	0.7922	-1.61287e+04	3	3.097	23	0.39307	0.41718	0.41840
HB3/PG0052-C/ERR019054	C13/PG0054-C/ERR019062	8989	0.7052	-1.47702e+04	2	2.330	18	0.47179	0.53349	0.53454
HB3/PG0052-C/ERR019054	C14/PG0060-C/ERR019058	10091	0.6983	-1.56708e+04	3	2.856	22	0.44894	0.48002	0.48176
HB3/PG0052-C/ERR019054	C15/PG0057-C/ERR019069	9156	0.7253	-1.48231e+04	3	2.590	20	0.44587	0.51038	0.51178
C01/PG0062-C/ERR019070	C01/PG0065-C/ERR019064	6540	0.0003	-9.46436e+03	2	0.000	0	1.00000	1.00000	1.00000
C01/PG0062-C/ERR019070	C02/PG0053-C/ERR019067	7544	0.9987	-1.34692e+04	4	4.094	30	0.43942	0.44004	0.44395
C01/PG0062-C/ERR019070	C02/PG0055-C/ERR019066	7544	0.9985	-1.34754e+04	3	4.041	30	0.43942	0.44114	0.44395
C01/PG0062-C/ERR019070	C02/PG0056-C/ERR019068	7543	0.9987	-1.34636e+04	3	4.036	30	0.43942	0.44115	0.44395
C01/PG0062-C/ERR019070	C02/PG0067-C/ERR019073	7542	0.9987	-1.34616e+04	3	4.036	30	0.43942	0.44115	0.44395
C01/PG0062-C/ERR019070	C03/PG0066-C/ERR019072	8552	0.6228	-1.33336e+04	4	4.891	32	0.65122	0.60451	0.60612
C01/PG0062-C/ERR019070	C04/PG0061-C/ERR019059	9306	0.7526	-1.47511e+04	4	5.699	43	0.50529	0.47937	0.48322
C01/PG0062-C/ERR019070	C05/PG0068-C/ERR019065	9818	0.7499	-1.54708e+04	3	3.165	24	0.45175	0.45411	0.45665
C01/PG0062-C/ERR019070	C06/PG0069-C/ERR019055	9291	0.7009	-1.44384e+04	3	4.480	34	0.52421	0.51631	0.51890
C01/PG0062-C/ERR019070	C07/PG0070-C/ERR019056	8505	0.5523	-1.28552e+04	4	4.522	31	0.66666	0.65097	0.65421
C01/PG0062-C/ERR019070	C08/PG0071-C/ERR019074	9738	0.7605	-1.50101e+04	3	3.008	23	0.50978	0.45267	0.45430
C01/PG0062-C/ERR019070	C09/PG0072-C/ERR019057	8839	0.6461	-1.35178e+04	3	4.257	32	0.50402	0.56804	0.57037
C01/PG0062-C/ERR019070	C10/PG0063-C/ERR019060	8699	0.8292	-1.46143e+04	4	4.195	30	0.49032	0.46189	0.45878
C01/PG0062-C/ERR019070	C11/PG0064-C/ERR019071	9969	0.8307	-1.59095e+04	4	4.727	34	0.40479	0.38221	0.38793
C01/PG0062-C/ERR019070	C12/PG0058-C/ERR019063	9755	0.8676	-1.55966e+04	4	4.588	32	0.38262	0.37066	0.37391
C01/PG0062-C/ERR019070	C13/PG0054-C/ERR019062	9087	0.8304	-1.49603e+04	3	4.440	33	0.41959	0.44118	0.44446
C01/PG0062-C/ERR019070	C14/PG0060-C/ERR019058	9318	0.6992	-1.43831e+04	3	4.883	37	0.54492	0.51611	0.51876
C01/PG0062-C/ERR019070	C15/PG0057-C/ERR019069	8883	0.7998	-1.42510e+04	4	4.616	33	0.39648	0.47207	0.47449
C01/PG0065-C/ERR019064	C02/PG0053-C/ERR019067	7545	0.9987	-1.34759e+04	4	4.097	30	0.43942	0.44004	0.44395
C01/PG0065-C/ERR019064	C02/PG0055-C/ERR019066	7545	0.9985	-1.34821e+04	3	4.044	30	0.43942	0.44113	0.44395
C01/PG0065-C/ERR019064	C02/PG0056-C/ERR019068	7544	0.9987	-1.34703e+04	3	4.039	30	0.43942	0.44114	0.44395
C01/PG0065-C/ERR019064	C02/PG0067-C/ERR019073	7543	0.9987	-1.34683e+04	3	4.039	30	0.43942	0.44114	0.44395
C01/PG0065-C/ERR019064	C03/PG0066-C/ERR019072	8553	0.6228	-1.33352e+04	4	4.895	32	0.65122	0.60450	0.60612
C01/PG0065-C/ERR019064	C04/PG0061-C/ERR019059	9306	0.7526	-1.47515e+04	4	5.703	43	0.50529	0.47940	0.48322
C01/PG0065-C/ERR019064	C05/PG0068-C/ERR019065	9818	0.7496	-1.54655e+04	3	3.164	24	0.45175	0.45412	0.45665
C01/PG0065-C/ERR019064	C06/PG0069-C/ERR019055	9293	0.7009	-1.44415e+04	3	4.480	34	0.52421	0.51631	0.51890
C01/PG0065-C/ERR019064	C07/PG0070-C/ERR019056	8506	0.5524	-1.28579e+04	4	4.522	31	0.66666	0.65096	0.65421
C01/PG0065-C/ERR019064	C08/PG0071-C/ERR019074	9740	0.7606	-1.50134e+04	3	3.008	23	0.50978	0.45266	0.45430
C01/PG0065-C/ERR019064	C09/PG0072-C/ERR019057	8841	0.6462	-1.35201e+04	3	4.260	32	0.50402	0.56802	0.57037
C01/PG0065-C/ERR019064	C10/PG0063-C/ERR019060	8701	0.8291	-1.46218e+04	4	4.199	30	0.49032	0.46190	0.45878
C01/PG0065-C/ERR019064	C11/PG0064-C/ERR019071	9969	0.8306	-1.59103e+04	4	4.727	34	0.40479	0.38222	0.38793
