sample1	sample2	chr	start	end	different	Nsnp
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	1	95518	574270	1	398
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	2	109073	861650	1	531
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	3	74346	1001448	1	620
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	4	91950	1141383	1	1107
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	5	38911	1321348	1	820
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	6	72627	1294070	1	727
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	7	77258	1380100	1	1166
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	8	74385	1363564	1	890
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	9	80852	1473413	1	1138
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	10	70764	1571687	1	1109
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	11	111204	1934044	1	916
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	12	60587	2162878	1	949
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	13	92637	2787498	1	1418
3D7/PG0051-C/ERR019061	HB3/PG0052-C/ERR019054	14	36236	3254381	1	1832
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	1	95518	574270	1	398
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	2	109073	861650	1	531
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	3	74346	565770	0	373
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	3	573708	1001448	1	247
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	4	91950	1141383	0	1107
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	5	38911	427247	0	276
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	5	437323	1321348	1	544
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	6	72627	293195	0	117
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	6	302105	1294070	1	610
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	7	77258	889170	1	870
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	7	894384	1380100	0	296
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	8	74385	984976	0	558
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	8	986740	1363564	1	332
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	9	80852	369084	0	165
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	9	374344	1473413	1	973
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	10	70764	1472362	1	1044
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	10	1477053	1571687	0	65
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	11	111204	1424532	1	652
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	11	1429726	1556224	0	65
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	11	1557470	1934044	1	199
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	12	60587	2162878	0	949
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	13	92637	391052	1	224
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	13	395723	1373255	0	460
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	13	1376212	2488438	1	559
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	13	2496657	2787498	0	175
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	14	36236	121728	0	85
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	14	123390	516607	1	197
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	14	521417	726161	0	107
3D7/PG0051-C/ERR019061	C01/PG0062-C/ERR019070	14	735663	3254381	1	1443
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	1	95518	574270	1	398
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	2	109073	861650	1	531
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	3	74346	565770	0	373
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	3	573708	1001448	1	247
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	4	91950	1141383	0	1107
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	5	38911	427247	0	276
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	5	437323	1321348	1	544
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	6	72627	293195	0	117
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	6	302105	1294070	1	610
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	7	77258	889170	1	870
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	7	894384	1380100	0	296
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	8	74385	984976	0	558
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	8	986740	1363564	1	332
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	9	80852	369084	0	165
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	9	374344	1473413	1	973
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	10	70764	1472362	1	1044
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	10	1477053	1571687	0	65
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	11	111204	1424532	1	652
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	11	1429726	1556224	0	65
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	11	1557470	1934044	1	199
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	12	60587	2162878	0	949
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	13	92637	391052	1	224
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	13	395723	1373255	0	460
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	13	1376212	2488438	1	559
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	13	2496657	2787498	0	175
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	14	36236	121728	0	85
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	14	123390	516607	1	197
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	14	521417	726161	0	107
3D7/PG0051-C/ERR019061	C01/PG0065-C/ERR019064	14	735663	3254381	1	1443
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	1	95518	341183	0	149
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	1	345066	574270	1	249
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	2	109073	346718	1	168
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	2	360156	861650	0	363
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	3	74346	1001448	0	620
3D7/PG0051-C/ERR019061	C02/PG0053-C/ERR019067	4	91950	1141383	1	1107
